Decision;Seniority;Home;Time;Age;Marital;Job;Expenses;Income;Assets;Debt;Amount;Price
0;22;other;36;46;married;fulltime;45;138;0;0;250;270
1;3;owner;60;54;widow;others;35;80;4000;0;950;1382
1;30;owner;36;51;married;freelance;120;208;15000;0;1500;1713
1;8;rent;60;52;married;fulltime;89;137;4000;0;800;1086
1;38;owner;48;57;married;freelance;45;58;12000;0;1500;3262
1;2;rent;60;33;married;fulltime;73;130;0;0;1100;1610
1;4;owner;60;33;married;fulltime;75;123;6000;1000;600;1030
0;0;rent;36;29;married;partime;78;180;0;0;650;650
0;2;other;48;23;single;fulltime;35;140;0;0;1950;2175
1;8;owner;24;33;married;fulltime;75;315;4500;0;400;1780
0;1;rent;36;24;married;partime;76;164;0;0;900;950
0;6;parents;60;28;married;freelance;90;325;7000;0;1200;1211
1;5;owner;60;27;married;fulltime;45;135;5000;1400;1600;1650
0;13;parents;36;33;single;fulltime;35;109;0;0;350;350
1;11;rent;60;32;married;fulltime;79;185;0;0;950;1117
1;10;owner;24;39;married;fulltime;45;217;9000;3000;1500;2468
0;20;owner;60;51;married;freelance;90;300;12500;2500;1340;1740
0;0;owner;36;39;single;freelance;35;77;4000;0;1000;1210
1;13;owner;48;29;married;fulltime;60;253;3000;0;670;963
0;2;owner;36;32;married;fulltime;75;101;1500;400;1200;1646
0;3;owner;36;40;married;freelance;35;200;10000;0;800;800
1;12;owner;36;47;married;fulltime;75;124;3500;0;460;470
1;20;owner;24;66;married;fulltime;45;143;10000;0;950;1370
1;3;rent;48;39;separated;freelance;35;250;4000;1500;700;839
1;27;owner;60;50;married;fulltime;75;135;5500;1000;600;1346
1;4;rent;60;25;married;fulltime;57;115;0;0;900;1350
0;1;owner;60;27;married;partime;75;160;4000;3000;1800;2100
1;18;rent;60;54;married;fulltime;66;214;0;0;1300;1307
1;12;rent;60;42;married;fulltime;114;390;0;0;1100;1126
1;12;owner;48;35;separated;freelance;45;500;200000;0;2380;4786
0;0;parents;60;23;single;partime;35;95;0;0;1400;1478
1;12;owner;60;52;married;fulltime;75;200;12000;0;1550;1568
1;0;parents;24;22;single;partime;35;85;0;0;650;1056
1;10;other;18;48;married;fulltime;90;214;0;0;1000;1608
1;2;owner;60;25;married;fulltime;75;140;3000;0;950;1179
0;10;other;60;26;married;fulltime;45;60;0;0;1400;1524
1;8;owner;60;28;married;fulltime;75;180;4000;0;1300;1730
1;20;owner;30;62;married;freelance;60;300;24000;9000;600;823
1;0;rent;60;33;married;freelance;65;200;0;0;700;800
1;16;parents;60;41;married;fulltime;75;242;0;0;1300;1482
1;4;owner;60;29;married;partime;60;155;5000;2500;900;1110
0;1;rent;60;37;single;fulltime;45;100;0;0;1150;1555
1;0;owner;60;31;married;fulltime;60;105;3500;0;1100;1170
1;15;owner;12;50;married;freelance;45;166;2000;0;500;886
0;13;rent;60;42;separated;fulltime;47;120;0;0;800;1395
1;19;owner;36;33;married;fulltime;60;115;6700;2000;1000;2084
1;15;owner;24;54;married;freelance;90;350;150000;0;3800;8800
1;40;owner;36;58;married;freelance;75;214;50000;0;1000;1160
1;9;rent;60;40;married;fulltime;119;442;6000;1947;900;1211
0;12;parents;60;31;separated;fulltime;35;101;0;0;1300;1300
0;0;owner;36;35;married;fulltime;105;122;5200;2000;850;850
1;14;owner;60;64;married;freelance;60;250;10000;0;700;1204
1;10;parents;24;29;single;freelance;35;90;0;0;600;1528
1;2;owner;48;33;married;fulltime;45;160;6000;0;1200;1298
1;15;owner;18;35;married;freelance;60;300;4000;0;300;600
0;1;parents;48;28;single;fulltime;35;83;0;0;1000;1320
1;27;owner;60;59;married;freelance;45;200;11000;0;1100;1300
0;0;other;60;25;married;partime;60;60;0;0;1300;1380
0;0;parents;60;23;single;partime;35;205;0;0;1400;1426
1;3;owner;24;30;married;freelance;75;133;12000;900;1500;5200
1;8;rent;36;36;married;fulltime;78;179;0;0;900;1503
1;3;owner;48;25;single;freelance;35;69;4000;0;1200;1449
1;5;other;60;22;single;fulltime;45;195;0;0;700;1422
1;9;owner;24;45;married;fulltime;75;112;4000;0;500;1430
1;4;owner;30;47;married;freelance;90;210;15000;0;1550;1578
1;14;rent;48;36;married;fulltime;75;155;3500;200;1100;1250
1;3;owner;36;36;single;freelance;35;394;16000;0;1500;2260
1;22;rent;36;60;married;fulltime;60;149;0;0;200;280
1;20;rent;48;59;married;fulltime;57;120;0;0;800;1298
0;6;owner;48;58;married;freelance;60;400;86000;0;930;945
1;23;owner;12;37;married;fulltime;45;165;5000;0;900;1694
0;5;owner;36;32;married;freelance;75;125;6000;0;600;700
1;8;rent;48;26;single;fulltime;42;74;0;0;600;1290
1;5;owner;60;40;married;fulltime;75;86;4900;0;1300;1581
1;20;owner;48;55;married;fulltime;45;185;5000;0;1000;1383
1;11;rent;60;30;married;fulltime;77;165;0;0;1350;1637
1;25;parents;54;43;married;fulltime;75;110;7000;0;1275;1275
0;2;rent;60;28;married;fulltime;74;138;0;0;1400;1400
1;20;owner;24;47;married;freelance;75;300;5000;0;600;832
1;9;owner;36;29;single;fulltime;35;147;3500;0;1886;2886
0;0;rent;60;48;separated;freelance;35;348;25300;15500;1200;1257
1;18;parents;60;34;married;fulltime;60;112;6550;0;600;1346
1;20;owner;60;53;married;freelance;75;350;6500;0;800;1138
1;6;owner;12;44;married;fulltime;45;110;15000;0;300;1801
0;0;owner;48;49;married;partime;45;75;2000;0;900;1200
1;0;rent;36;51;married;fulltime;113;230;0;0;950;950
1;14;other;60;34;married;fulltime;75;85;8000;0;1400;1589
1;10;owner;48;42;married;freelance;75;210;4000;120;1200;1617
1;19;owner;60;34;married;fulltime;75;125;5000;0;1200;1200
1;11;owner;60;46;married;fulltime;75;149;3500;0;1400;2194
1;1;owner;48;31;married;fulltime;75;201;2500;96;1100;1642
0;13;other;60;31;married;fulltime;60;105;0;0;1200;1423
1;4;rent;12;33;married;fulltime;78;183;0;0;600;1600
0;9;rent;24;30;single;fulltime;46;113;0;0;700;700
1;1;owner;24;27;married;fulltime;45;126;3000;3700;200;300
1;4;owner;36;48;married;freelance;120;300;5000;0;1000;1165
1;2;owner;60;33;married;fulltime;75;160;6000;0;1000;1365
1;2;owner;12;44;married;fulltime;90;160;7500;0;500;1706
0;0;other;36;48;married;freelance;45;89;0;0;1600;2053
1;21;owner;60;57;married;freelance;60;95;8000;0;1000;1700
1;12;owner;60;34;married;fulltime;75;125;5500;4000;950;1462
1;9;rent;60;38;married;fulltime;87;120;0;0;1177;1300
1;2;rent;36;35;married;fulltime;126;359;0;0;870;1122
1;24;owner;60;52;married;fulltime;45;80;4000;0;1200;1257
1;1;parents;60;28;single;partime;35;67;0;0;1050;1387
1;15;owner;48;46;married;fulltime;90;148;12000;0;1000;1266
1;19;owner;60;56;married;fulltime;45;298;8000;0;1700;2195
1;10;owner;24;52;married;fulltime;75;318;4500;700;700;2004
1;19;owner;60;35;married;fulltime;75;185;4000;0;1100;1203
1;10;owner;36;45;married;freelance;60;39;9500;250;750;1138
1;4;parents;48;29;married;fulltime;45;194;0;0;1200;1374
0;1;parents;60;22;single;fulltime;35;80;3000;0;1500;1514
1;2;owner;24;33;married;fulltime;75;147;2000;900;400;750
1;5;owner;24;41;married;freelance;105;156;10000;0;800;1894
1;11;owner;36;37;married;fulltime;75;178;3000;0;1000;1048
1;23;owner;24;46;married;fulltime;75;130;4000;0;400;1369
0;4;other;36;19;single;partime;35;63;0;0;1000;1035
0;5;parents;36;22;single;fulltime;35;88;0;0;750;1218
1;15;parents;60;31;married;fulltime;45;140;0;0;1200;1637
0;1;rent;60;44;married;partime;45;115;2000;0;750;953
1;9;owner;60;48;married;fulltime;60;83;2500;0;1100;1212
1;4;rent;36;31;married;fulltime;60;144;3000;0;1000;1218
1;20;owner;24;53;married;freelance;45;200;100000;0;1000;1419
1;10;other;60;36;married;fulltime;90;172;3000;0;1100;1100
1;2;rent;60;46;married;freelance;105;200;4000;500;900;987
1;15;owner;60;37;married;fulltime;60;318;7000;0;1900;2400
1;8;owner;60;34;married;fulltime;60;177;6300;4000;1370;1375
1;4;owner;48;36;married;fulltime;60;133;4000;0;1000;1595
1;4;owner;60;64;single;others;35;150;9000;0;984;1054
1;1;owner;36;27;single;fulltime;35;208;9000;0;1000;1651
1;10;owner;30;26;married;fulltime;75;145;1434;0;300;1542
1;32;owner;60;53;married;fulltime;60;157;5000;0;2000;2014
1;12;owner;60;50;married;fulltime;45;190;9500;200;1800;2624
0;0;parents;60;21;single;partime;35;86;0;0;1000;1135
1;20;parents;24;40;single;fulltime;35;90;0;0;600;1105
1;6;rent;60;49;married;partime;100;100;30000;0;1500;1500
0;4;rent;24;40;married;fulltime;56;214;0;0;800;1200
1;1;rent;60;37;single;fulltime;45;100;0;0;1150;1555
1;2;rent;48;25;married;fulltime;57;117;0;0;800;2251
1;25;owner;18;40;married;fulltime;45;110;4000;0;455;1542
1;1;rent;36;22;married;fulltime;62;168;0;0;1200;2186
1;10;owner;48;49;married;freelance;45;150;9000;0;1700;1700
1;2;owner;60;34;married;fulltime;45;166;7000;0;600;1180
0;13;rent;24;49;married;freelance;90;283;0;0;700;800
0;10;rent;60;43;married;freelance;90;149;0;0;1350;1668
1;20;owner;36;42;married;freelance;90;250;4500;0;1500;1750
1;10;owner;48;28;married;partime;60;120;2500;1500;600;875
1;1;owner;60;30;married;freelance;35;236;3500;1000;1000;1514
0;1;owner;60;25;separated;partime;45;277;6000;3500;1700;1950
0;0;parents;60;22;single;partime;35;55;0;0;950;1462
1;5;parents;36;27;single;fulltime;35;200;4000;0;600;1098
1;3;parents;60;26;single;fulltime;45;235;0;0;800;840
0;0;owner;48;28;married;fulltime;45;80;1500;0;1260;1634
1;6;owner;48;35;married;freelance;45;200;7000;0;1540;1603
1;21;rent;60;51;married;fulltime;45;140;3000;0;1200;1200
1;5;rent;60;24;married;fulltime;73;125;0;0;700;1360
1;12;rent;60;34;married;fulltime;94;185;0;0;1200;1236
1;13;owner;42;34;married;fulltime;105;190;2500;300;1100;1395
1;10;owner;60;49;married;freelance;60;150;23000;0;1200;1390
1;6;owner;60;28;married;fulltime;60;102;5000;0;700;1355
1;18;rent;60;57;married;fulltime;77;170;4000;0;1300;1604
1;15;owner;60;63;married;fulltime;60;315;3500;266;1000;1241
0;0;rent;12;37;married;others;88;130;0;0;250;375
1;2;owner;36;27;married;fulltime;45;156;6000;0;700;1045
1;18;rent;60;39;married;fulltime;93;177;0;0;800;1781
1;12;owner;36;64;single;freelance;60;341;4500;0;900;900
1;25;owner;48;49;married;freelance;105;240;12000;4200;1660;1698
1;8;owner;12;49;married;freelance;60;142;6000;0;200;1048
1;20;owner;36;45;married;freelance;75;333;5000;0;1000;2200
1;3;parents;60;27;single;fulltime;35;125;5000;0;770;1119
1;2;parents;36;30;married;fulltime;45;170;0;0;700;1090
0;2;owner;36;33;married;freelance;75;220;16000;500;3000;4100
1;15;owner;36;40;married;fulltime;60;230;8500;480;700;1400
1;3;owner;60;30;separated;fulltime;60;157;15000;0;1000;2010
1;4;parents;12;30;married;fulltime;60;340;16000;0;1900;2014
1;3;owner;60;25;married;partime;60;120;3500;200;1000;1342
1;9;rent;60;40;single;fulltime;44;91;0;0;1000;1132
0;4;rent;42;50;married;freelance;60;150;7000;0;900;1048
1;2;owner;36;23;single;fulltime;35;88;5500;0;750;1218
1;1;other;48;28;single;partime;35;120;0;0;900;1114
0;2;rent;60;35;married;freelance;75;70;0;0;1000;1206
1;2;rent;60;27;married;fulltime;56;106;0;0;650;2132
1;2;parents;36;19;married;fulltime;35;162;4000;100;400;570
1;3;parents;60;39;married;fulltime;45;77;0;0;1000;1094
1;8;rent;36;39;married;fulltime;75;128;2500;0;550;550
1;10;owner;48;55;widow;fulltime;35;189;9000;0;1200;1255
1;10;owner;36;32;married;freelance;60;300;40000;3000;2000;4138
1;5;owner;60;54;married;freelance;60;92;6000;1700;1700;1714
1;20;owner;48;58;married;freelance;60;380;35000;0;1100;1150
1;5;owner;24;37;married;freelance;75;500;14000;0;1500;2673
1;20;parents;60;36;married;freelance;60;130;0;0;1200;1630
1;12;owner;60;28;married;fulltime;45;141;6000;400;1100;1544
1;13;owner;60;38;married;fulltime;75;220;6500;3600;1000;1195
1;11;owner;36;26;married;fulltime;60;146;5000;1300;400;1206
1;17;owner;60;41;married;freelance;75;250;13500;3700;1400;2050
1;6;owner;36;42;married;fulltime;60;132;6000;0;1200;1513
1;22;owner;6;46;married;freelance;90;150;75000;0;3000;3300
1;25;rent;60;52;married;fulltime;73;127;0;0;1030;1250
0;8;owner;60;30;married;partime;60;90;3000;500;1000;1339
0;19;owner;60;47;married;freelance;90;166;12500;1000;875;875
1;3;owner;18;66;married;others;45;69;12000;0;500;1101
1;35;owner;60;54;married;fulltime;45;182;4000;0;1000;1568
1;0;owner;42;65;married;others;45;77;4000;2000;750;1194
0;7;other;60;25;married;fulltime;45;50;0;0;950;1378
1;3;owner;60;31;single;fulltime;35;131;4000;0;1050;1139
1;1;parents;24;23;single;fulltime;35;62;0;0;350;350
0;5;owner;60;35;married;fulltime;75;60;3000;400;1150;1406
1;2;owner;60;47;married;fulltime;90;86;4500;0;1200;1497
0;13;rent;36;28;married;fulltime;59;143;0;0;1400;1600
0;27;rent;60;50;married;fulltime;87;120;0;0;1300;1350
0;3;other;60;25;single;fulltime;35;283;0;0;2000;2032
1;0;owner;36;39;married;fulltime;60;138;3000;0;1400;2610
1;1;rent;12;46;married;others;90;90;2000;600;500;1193
0;1;rent;60;36;married;fulltime;85;99;0;0;1200;1275
0;10;owner;36;39;married;freelance;75;160;15000;0;3250;3750
1;1;owner;60;25;married;partime;60;330;9000;3500;1300;2500
1;6;owner;36;49;married;freelance;60;100;22000;0;1000;1790
0;3;rent;48;52;married;fulltime;96;210;0;0;1400;1419
1;10;rent;30;34;separated;fulltime;45;100;0;0;700;1480
1;0;owner;36;24;single;partime;45;97;8000;0;600;1542
0;1;rent;60;38;married;freelance;45;65;0;0;1500;1850
1;6;owner;48;24;married;fulltime;45;227;3000;0;600;1380
1;5;owner;42;33;married;fulltime;45;140;22000;2500;1200;1888
0;1;rent;48;31;married;fulltime;87;115;0;0;1100;1672
1;37;owner;48;63;married;fulltime;60;150;3500;0;700;808
0;1;parents;60;23;single;fulltime;35;90;0;0;1100;1107
1;40;owner;42;61;married;fulltime;90;275;12000;0;1000;1335
1;5;parents;60;28;single;fulltime;35;176;0;0;1190;1390
1;11;rent;60;58;married;fulltime;71;110;3000;0;1150;1363
1;23;owner;60;41;married;fulltime;75;140;3000;0;1450;1482
1;23;owner;60;38;married;fulltime;45;500;3500;0;1900;2357
0;5;owner;60;27;married;fulltime;75;66;3000;0;600;850
1;10;owner;60;55;married;freelance;60;273;10000;0;1000;1180
1;5;owner;48;40;married;freelance;75;145;6000;0;825;1617
1;31;owner;60;59;married;fulltime;60;67;6500;0;1080;1114
0;4;owner;60;47;married;freelance;75;232;13500;0;1900;1976
0;10;owner;60;38;married;fulltime;90;80;3000;1749;1030;1095
1;0;parents;60;25;single;freelance;35;130;0;0;800;1380
1;8;other;60;28;married;fulltime;45;200;0;0;700;1529
1;2;owner;36;49;married;freelance;75;154;14000;0;850;1263
1;3;rent;48;38;married;freelance;90;187;2500;750;1550;1600
0;35;owner;48;52;married;fulltime;60;135;5000;0;1200;1400
1;3;owner;48;37;widow;fulltime;45;160;6000;3000;1000;1520
1;25;owner;60;42;married;fulltime;60;133;9500;0;1500;1617
1;8;rent;60;54;married;freelance;173;230;5000;0;1100;1500
1;2;owner;60;30;married;fulltime;60;154;3000;0;1000;1705
1;2;owner;30;26;married;fulltime;60;50;3500;250;600;1292
1;17;owner;48;49;married;freelance;60;189;7000;0;1100;1294
1;3;owner;60;36;married;fulltime;60;202;4600;1260;1400;1936
0;4;parents;48;40;married;freelance;90;20;0;0;1850;2143
0;0;owner;12;61;married;others;60;40;4000;0;170;1394
0;2;rent;24;59;married;fulltime;110;50;0;0;200;425
1;2;owner;48;49;married;fulltime;45;125;4000;0;500;1600
1;30;rent;60;52;married;freelance;70;100;14500;0;1250;1563
1;11;owner;60;35;married;fulltime;60;115;4000;75;1250;1284
0;5;other;60;25;married;fulltime;75;160;1000;0;890;990
1;14;owner;60;30;married;fulltime;60;70;4000;2800;600;1125
1;8;owner;48;28;married;fulltime;35;220;4000;0;1000;1267
0;1;other;60;42;married;freelance;45;99;0;0;1600;1780
1;1;owner;6;29;single;freelance;35;107;2000;0;300;1298
0;6;owner;60;32;married;fulltime;75;160;2200;600;1550;1600
1;9;owner;60;45;married;fulltime;75;150;3000;0;1100;1340
1;0;owner;60;52;married;partime;45;232;10000;0;750;1244
0;3;owner;60;26;married;partime;45;120;6100;1500;1000;1403
1;3;owner;60;33;married;freelance;75;225;2000;0;1400;1980
1;1;parents;60;21;single;freelance;35;100;0;0;900;1290
0;0;owner;36;34;married;partime;75;80;4500;300;600;1339
1;6;owner;60;27;single;fulltime;35;208;6000;3300;1500;1559
0;21;owner;60;44;married;fulltime;90;105;1150;720;200;1078
1;17;owner;60;51;married;fulltime;60;98;4000;0;860;1113
1;7;rent;18;33;married;fulltime;113;532;0;0;1000;2290
1;10;owner;60;35;married;fulltime;60;140;4000;0;1000;1578
1;2;owner;48;38;married;fulltime;75;90;7000;2000;500;1039
1;0;rent;60;28;married;fulltime;76;155;0;0;800;1218
1;2;owner;60;26;married;fulltime;45;120;3500;0;300;1329
1;10;owner;36;34;married;fulltime;90;159;3000;250;300;500
1;6;owner;60;27;married;fulltime;45;122;2000;1000;1300;1384
0;7;owner;60;32;married;partime;75;156;3500;0;1300;1553
1;18;owner;48;43;single;fulltime;35;90;2500;0;1000;1626
1;3;owner;18;30;single;partime;35;130;5000;0;1100;1674
1;6;owner;18;42;married;freelance;90;45;4000;34;200;1500
1;0;rent;36;26;married;partime;72;118;1000;0;600;1421
0;0;owner;24;20;single;others;60;152;2000;0;400;480
1;8;rent;48;24;single;fulltime;49;135;0;0;1000;1274
1;4;rent;48;27;married;fulltime;58;125;0;0;1200;1580
1;1;rent;36;35;married;freelance;66;208;4000;0;1000;1300
0;1;parents;48;18;single;partime;35;81;0;0;1150;1314
1;3;owner;24;35;married;fulltime;75;160;1800;0;200;957
1;10;rent;60;33;married;freelance;75;300;2700;0;1000;1500
1;8;rent;36;39;married;fulltime;60;135;4000;1500;1300;1504
1;20;parents;60;36;married;fulltime;60;121;0;0;850;935
1;3;parents;48;29;single;fulltime;35;145;0;0;1000;1028
0;1;parents;48;23;single;fulltime;35;165;0;0;1300;1440
1;19;owner;12;34;married;freelance;75;428;32000;0;500;1030
1;2;rent;48;57;married;others;68;233;0;0;1200;1366
0;11;owner;60;38;married;fulltime;90;245;4000;0;1700;1768
0;1;owner;36;52;married;freelance;60;232;100000;20000;1500;2340
0;1;owner;48;42;married;freelance;75;200;9000;4500;1400;1700
1;15;owner;60;44;married;freelance;60;42;10000;0;910;1450
1;10;owner;48;37;divorced;fulltime;35;87;3500;450;500;1155
0;1;rent;48;34;married;freelance;45;200;3000;1500;1000;1191
1;25;owner;12;43;married;freelance;75;250;100000;0;600;841
0;4;rent;60;42;divorced;fulltime;70;350;0;0;2200;2441
0;0;other;48;24;married;fulltime;60;105;0;0;1200;1516
1;1;owner;60;36;single;freelance;60;100;4500;1500;400;1591
0;2;parents;60;52;married;freelance;75;160;5000;0;1350;1999
1;16;parents;60;34;single;freelance;35;132;12000;0;1200;1336
0;0;rent;36;34;separated;fulltime;49;140;0;0;1150;1600
1;16;parents;60;31;married;fulltime;45;160;0;0;1400;1850
1;8;owner;60;36;married;freelance;75;148;2600;0;1400;1775
1;20;parents;36;50;married;freelance;45;113;20000;0;700;1224
1;5;parents;60;33;married;fulltime;45;97;0;0;1500;1663
1;20;owner;60;54;married;fulltime;60;107;1500;0;1250;1500
0;5;rent;60;40;married;fulltime;66;206;0;0;1900;2225
1;1;owner;60;29;married;fulltime;45;275;6000;1810;1600;1930
1;3;owner;60;31;married;fulltime;45;176;4500;2500;1400;1607
1;2;rent;36;32;married;fulltime;63;175;0;0;1000;1230
1;3;owner;24;51;married;fulltime;45;223;20000;0;1400;1581
1;7;rent;60;31;married;fulltime;67;70;0;0;790;1072
0;9;rent;36;46;married;fulltime;84;87;0;0;1200;1471
0;1;owner;60;35;married;freelance;90;42;5000;100;500;1300
1;14;parents;60;33;single;fulltime;35;60;0;0;1150;1192
1;6;other;48;25;single;fulltime;35;300;0;0;2400;2700
1;0;other;36;31;married;fulltime;75;144;0;0;450;500
0;15;rent;36;43;married;freelance;75;217;15000;2000;1100;1720
1;2;parents;48;30;married;fulltime;60;180;0;0;1350;1770
0;1;rent;48;40;married;others;82;69;0;0;1100;1197
1;12;rent;60;37;married;fulltime;86;110;0;0;700;950
0;1;parents;36;22;single;partime;35;50;0;0;425;450
0;0;parents;60;24;single;partime;35;86;0;0;1400;1707
1;11;owner;36;27;married;fulltime;60;172;7000;0;900;1201
0;9;rent;60;32;married;freelance;71;109;0;0;1135;1355
1;13;owner;60;43;married;fulltime;60;95;3000;0;890;1196
1;29;rent;60;57;married;fulltime;80;203;0;0;1100;1297
0;33;owner;48;59;married;fulltime;45;114;10000;0;1200;1420
1;3;rent;48;60;widow;freelance;54;186;0;0;850;1036
1;0;rent;60;25;single;fulltime;51;155;0;0;800;1201
1;5;parents;60;28;married;fulltime;60;195;1800;0;1000;1527
0;3;owner;60;40;married;freelance;75;246;2500;0;1300;1500
1;21;rent;48;36;married;fulltime;86;113;0;0;950;1057
1;6;owner;48;27;married;freelance;60;290;4300;900;1500;2127
0;1;other;48;33;married;freelance;75;103;0;0;1000;2218
1;25;owner;60;44;married;fulltime;45;125;2500;0;1200;1570
