Class;Name;Title;Sex;Age;Hometown;Boarded;Home country;Destination;Position;Station;Survived;Lifeboat;Body
1;Astor, Colonel John Jacob IV;Colonel;Male;47;New York, New York, US;Cherbourg;;New York, New York, US;;;0;;124MB
1;Astor, Mrs. Madeleine Talmage (née Force)[57][58];Mr;Female;18;New York, New York, US;Cherbourg;;New York, New York, US;;;1;4;
1;and maid, Miss Rosalie Bidois;Miss;Female;46;New York, New York, US;Cherbourg;;New York, New York, US;;;1;4;
1;and nurse, Miss Caroline Louise Endres;Miss;Female;39;New York, New York, US;Cherbourg;;New York, New York, US;;;1;4;
1;Aubart, Mrs. Léontine Pauline[59];Mr;Female;24;Paris, France;Cherbourg;;New York, New York, US;;;1;9;
1;and maid, Miss Emma Sägesser;Miss;Female;24;Paris, France;Cherbourg;;New York, New York, US;;;1;9;
1;Barkworth, Mr. Algernon Henry Wilson;Mr;Male;47;Hessle, East Yorkshire, England, UK;Southampton;;New York, New York, US;;;1;B;
1;Baumann, Mr. John D.;Mr;Male;60;New York, New York, US;Cherbourg;;New York, New York, US;;;0;;
1;Baxter, Mrs. Hélène (née de Lanaudière-Chaput);Mr;Female;50;Montreal, Quebec, Canada;Cherbourg;;Montreal, Quebec, Canada;;;1;6;
1;Baxter, Mr. Quigg Edmond;Mr;Male;24;Montreal, Quebec, Canada;Cherbourg;;Montreal, Quebec, Canada;;;0;;
1;Beattie, Mr. Thomson;Mr;Male;36;Fergus, Ontario, Canada;Southampton;;Fergus, Ontario, Canada;;;0;A[60];331O
1;Beckwith, Mr. Richard Leonard;Mr;Male;37;New York, New York, US;Southampton;;New York, New York, US;;;1;5;
1;Beckwith, Mrs. Sallie (née Monypeny);Mr;Female;46;New York, New York, US;Southampton;;New York, New York, US;;;1;5;
1;Behr, Mr. Karl Howell;Mr;Male;26;New York, New York, US;Cherbourg;;New York, New York, US;;;1;5;
1;Birnbaum, Mr. Jakob;Mr;Male;24;Antwerp, Belgium;Cherbourg;;San Francisco, California, US;;;0;;148MB
1;"Bishop, Mr. Dickinson H. ""Dick""";Mr;Male;25;Dowagiac, Michigan, US;Cherbourg;;Dowagiac, Michigan, US;;;1;7;
1;Bishop, Mrs. Helen (née Walton)[58][61];Mr;Female;19;Dowagiac, Michigan, US;Cherbourg;;Dowagiac, Michigan, US;;;1;7;
1;Björnström-Steffanson, Mr. Mauritz Håkan;Mr;Male;28;Stockholm, Sweden;Southampton;;Washington, DC, US;;;1;D;
1;Blackwell, Mr. Stephen Weart;Mr;Male;45;Trenton, New Jersey, US;Southampton;;Trenton, New Jersey, US;;;0;;
1;Blank, Mr. Henry;Mr;Male;39;Glen Ridge, New Jersey, US;Cherbourg;;Glen Ridge, New Jersey, US;;;1;7;
1;Bonnell, Miss Elizabeth;Miss;Female;61;Youngstown, Ohio, US;Southampton;;Youngstown, Ohio, US;;;1;8;
1;Bonnell, Miss Caroline;Miss;Female;30;Youngstown, Ohio, US;Southampton;;Youngstown, Ohio, US;;;1;8;
1;Borebank, Mr. John James;Mr;Male;42;London, England, UK;Southampton;;Toronto, Ontario, Canada;;;0;;
1;Bowerman, Miss Elsie Edith;Miss;Female;22;St Leonards-on-Sea, East Sussex, England, UK;Southampton;;New York, New York, US;;;1;6;
1;Brady, Mr. John Bertram;Mr;Male;41;Pomeroy, Washington, US;Southampton;;Pomeroy, Washington, US;;;0;;
1;Brandeis, Mr. Emil;Mr;Male;48;Omaha, Nebraska, US;Cherbourg;;Omaha, Nebraska, US;;;0;;208MB
1;Brereton, Mr. George Andrew (alias George A. Brayton);Mr;Male;37;Los Angeles, California, US;Southampton;;Los Angeles, California, US;;;1;9;
1;Brewe, Dr. Arthur Jackson;Dr;Male;45;Philadelphia, Pennsylvania, US;Cherbourg;;Philadelphia, Pennsylvania, US;;;0;;
1;Brown, Mrs. Caroline Lane (née Lamson);Mr;Female;59;Belmont, Massachusetts, US;Southampton;;Belmont, Massachusetts, US;;;1;D;
1;Brown, Mrs. Margaret (née Tobin);Mr;Female;44;Denver, Colorado, US;Cherbourg;;Denver, Colorado, US;;;1;6;
1;Bucknell, Mrs. Emma Eliza (née Ward);Mr;Female;59;Philadelphia, Pennsylvania, US;Cherbourg;;Philadelphia, Pennsylvania, US;;;1;8;
1;and maid, Miss Albina Bazzani;Miss;Female;36;Philadelphia, Pennsylvania, US;Cherbourg;;Philadelphia, Pennsylvania, US;;;1;8;
1;Butt, Major Archibald Willingham;FAUX;Male;46;Washington, DC, US;Southampton;;Washington, DC, US;;;0;;
1;Calderhead, Mr. Edward Pennington;Mr;Male;42;New York, New York, US;Southampton;;New York, New York, US;;;1;5;
1;Candee, Mrs. Helen Churchill (née Hungerford);Mr;Female;53;Washington, DC, US;Cherbourg;;Washington, DC, US;;;1;6;
1;Cardeza, Mrs. Charlotte Wardle (née Drake);Mr;Female;58;Germantown, Pennsylvania, US;Cherbourg;;Germantown, Pennsylvania, US;;;1;3;
1;and maid, Miss Annie Moore Ward;Miss;Female;38;Germantown, Pennsylvania, US;Cherbourg;;Germantown, Pennsylvania, US;;;1;3;
1;Cardeza, Mr. Thomas Drake Martinez;Mr;Male;36;Germantown, Pennsylvania, US;Cherbourg;;Germantown, Pennsylvania, US;;;1;3;
1;and valet, Mr. Gustave J. Lesueur;Mr;Male;35;Germantown, Pennsylvania, US;Cherbourg;;Germantown, Pennsylvania, US;;;1;3;
1;Carlsson, Mr. Frans Olof;Mr;Male;33;New York, New York, US;Southampton;;New York, New York, US;;;0;;
1;Carrau, Mr. Francisco M.;Mr;Male;31;Montevideo, Uruguay;Southampton;;Montevideo, Uruguay;;;0;;
1;Carrau, Mr. José Pedro;Mr;Male;17;Montevideo, Uruguay;Southampton;;Montevideo, Uruguay;;;0;;
1;Carter, Mr. William Ernest;Mr;Male;36;Bryn Mawr, Pennsylvania, US;Southampton;;Bryn Mawr, Pennsylvania, US;;;1;C;
1;and valet, Mr. Alexander Cairns;Mr;Male;28;Bryn Mawr, Pennsylvania, US;Southampton;;Bryn Mawr, Pennsylvania, US;;;0;;
1;and chauffeur, Mr. Charles Augustus Aldworth[55];Mr;Male;30;Bryn Mawr, Pennsylvania, US;Southampton;;Bryn Mawr, Pennsylvania, US;;;0;;
1;Carter, Mrs. Lucile (née Polk);Mr;Female;36;Bryn Mawr, Pennsylvania, US;Southampton;;Bryn Mawr, Pennsylvania, US;;;1;4;
1;and maid, Miss Auguste Serreplan;Miss;Female;30;Bryn Mawr, Pennsylvania, US;Southampton;;Bryn Mawr, Pennsylvania, US;;;1;4;
1;Carter, Miss Lucile Polk;Miss;Female;13;Bryn Mawr, Pennsylvania, US;Southampton;;Bryn Mawr, Pennsylvania, US;;;1;4;
1;Carter, Master William Thornton II;Master;Male;11;Bryn Mawr, Pennsylvania, US;Southampton;;Bryn Mawr, Pennsylvania, US;;;1;4;
1;Case, Mr. Howard Brown;Mr;Male;49;Ascot, Berkshire, England, UK;Southampton;;Rochester, New York, US;;;0;;
1;Cassebeer, Mrs. Eleanor Genevieve (née Fosdick);Mr;Female;36;New York, New York, US;Cherbourg;;New York, New York, US;;;1;5;
1;Cavendish, Mr. Tyrell William;Mr;Male;36;London, England, UK;Southampton;;New York, New York, US;;;0;;172MB
1;Cavendish, Mrs. Julia Florence (née Siegel);Mr;Female;25;London, England, UK;Southampton;;New York, New York, US;;;1;6;
1;"and maid, Miss Ellen ""Nellie"" Barber";Miss;Female;26;London, England, UK;Southampton;;New York, New York, US;;;1;6;
1;Chaffee, Mr. Hubert Fuller;Mr;Male;46;Amenia, North Dakota, US;Southampton;;Amenia, North Dakota, US;;;0;;
1;Chaffee, Mrs. Carrie Constance (née Toogood);Mr;Female;47;Amenia, North Dakota, US;Southampton;;Amenia, North Dakota, US;;;1;4;
1;Chambers, Mr. Norman Campbell;Mr;Male;27;New York, New York, US;Southampton;;New York, New York, US;;;1;5;
1;Chambers, Mrs. Bertha (née Griggs);Mr;Female;32;New York, New York, US;Southampton;;New York, New York, US;;;1;5;
1;Cherry, Miss Gladys;Miss;Female;30;London, England, UK;Southampton;;Vancouver, British Columbia, Canada;;;1;8;
1;Chevré, Mr. Paul Romaine Marie Léonce;Mr;Male;45;Paris, France;Cherbourg;;Ottawa, Ontario, Canada;;;1;7;
1;Chibnall, Mrs. Edith Martha Bowerman (née Barber);Mr;Female;48;St Leonards-on-Sea, East Sussex, England, UK;Southampton;;New York, New York, US;;;1;6;
1;Chisholm, Mr. Roderick Robert Crispin[56];Mr;Male;40;Belfast, Ireland, UK;Belfast;;New York, New York, US;Draughtsman;Guarantee group;0;;
1;Clark, Mr. Walter Miller;Mr;Male;27;Los Angeles, California, US;Cherbourg;;Los Angeles, California, US;;;0;;
1;Clark, Mrs. Virginia Estelle (née McDowell);Mr;Female;26;Los Angeles, California, US;Cherbourg;;Los Angeles, California, US;;;1;4;
1;Clifford, Mr. George Quincy;Mr;Male;40;Stoughton, Massachusetts, US;Southampton;;Stoughton, Massachusetts;;;0;;
1;Colley, Mr. Edward Pomeroy;Mr;Male;37;Dublin, Ireland, UK[note 1];Southampton;;Vancouver, British Columbia, Canada;;;0;;
1;Compton, Mrs. Mary Eliza (née Ingersoll);Mr;Female;64;Lakewood, New Jersey, US;Cherbourg;;Lakewood, New Jersey, US;;;1;14;
1;Compton, Miss Sara Rebecca;Miss;Female;39;Lakewood, New Jersey, US;Cherbourg;;Lakewood, New Jersey, US;;;1;14;
1;Compton, Mr. Alexander Taylor Jr.;Mr;Male;37;Lakewood, New Jersey, US;Cherbourg;;Lakewood, New Jersey, US;;;0;;
1;Cornell, Mrs. Malvina Helen (née Lamson);Mr;Female;55;New York, New York, US;Southampton;;New York, New York, US;;;1;2;
1;Crafton, Mr. John Bertram;Mr;Male;59;Roachdale, Indiana, US;Southampton;;Roachdale, Indiana, US;;;0;;
1;Crosby, Captain Edward;FAUX;Male;70;Milwaukee, Wisconsin, US;Southampton;;Milwaukee, Wisconsin, US;;;0;;269MB
1;Crosby, Mrs. Catherine Elizabeth (née Halstead);Mr;Female;64;Milwaukee, Wisconsin, US;Southampton;;Milwaukee, Wisconsin, US;;;1;7;
1;Crosby, Miss Harriette Rebecca;Miss;Female;39;Milwaukee, Wisconsin, US;Southampton;;Milwaukee, Wisconsin, US;;;1;7;
1;Cumings, Mr. John Bradley;Mr;Male;39;New York, New York, US;Cherbourg;;New York, New York, US;;;0;;
1;Cumings, Mrs. Florence Briggs (née Thayer);Mr;Female;35;New York, New York, US;Cherbourg;;New York, New York, US;;;1;4;
1;Daly, Mr. Peter Dennis;Mr;Male;51;Lima, Peru;Southampton;;Lima, Peru;;;1;A;
1;Daniel, Mr. Robert Williams;Mr;Male;27;Philadelphia, Pennsylvania, US;Southampton;;Philadelphia, Pennsylvania, US;;;0;3;
1;Davidson, Mr. Thornton;Mr;Male;31;Montreal, Quebec, Canada;Southampton;;Montreal, Quebec, Canada;;;0;;
1;Davidson, Mrs. Orian (née Hays);Mr;Female;27;Montreal, Quebec, Canada;Southampton;;Montreal, Quebec, Canada;;;1;3;
1;Dick, Mr. Albert Adrian;Mr;Male;31;Calgary, Alberta, Canada;Southampton;;Calgary, Alberta, Canada;;;1;3;
1;Dick, Mrs. Vera (née Gillespie);Mr;Female;17;Calgary, Alberta, Canada;Southampton;;Calgary, Alberta, Canada;;;1;3;
1;Dineston, Mrs. Nancy May Bowles;Mr;Female;28;London, England, UK;Southampton;;New York, New York, US;;;1;3;
1;Dineston, George Samuel;FAUX;Male;30;London, England, UK;Southampton;;New York, New York, US;;;1;3;
1;Dodge, Dr. Washington;Dr;Male;52;San Francisco, California, US;Southampton;;San Francisco, California, US;;;1;13;
1;Dodge, Mrs. Ruth (née Vidaver);Mr;Female;34;San Francisco, California, US;Southampton;;San Francisco, California, US;;;1;5;
1;Dodge, Master Washington, Jr.;Master;Male;4;San Francisco, California, US;Southampton;;San Francisco, California, US;;;1;5;
1;Douglas, Mr. Walter Donald;Mr;Male;50;Minneapolis, Minnesota, US;Cherbourg;;Minneapolis, Minnesota, US;;;0;;62MB
1;Douglas, Mrs. Mahala (née Dutton);Mr;Female;48;Minneapolis, Minnesota, US;Cherbourg;;Minneapolis, Minnesota, US;;;1;2;
1;and maid, Miss Berthe Leroy;Miss;Female;27;Minneapolis, Minnesota, US;Cherbourg;;Minneapolis, Minnesota, US;;;1;2;
1;Douglas, Mrs. Mary Hélène (née Baxter);Mr;Female;27;Montreal, Quebec, Canada;Cherbourg;;Montreal, Quebec, Canada;;;1;6;
1;Duff Gordon, Sir Cosmo Edmund;FAUX;Male;49;London, England, UK;Cherbourg;;New York, New York, US;;;1;1;
1;Duff Gordon, Lucy Christiana, Lady (née Sutherland);FAUX;Male;48;London, England, UK;Cherbourg;;New York, New York, US;;;1;1;
1;and secretary, Miss Laura Mabel Francatelli;Miss;Female;31;London, England, UK;Cherbourg;;New York, New York, US;;;1;1;
1;Dulles, Mr. William Crothers;Mr;Male;39;Philadelphia, Pennsylvania, US;Cherbourg;;Philadelphia, Pennsylvania, US;;;0;;133MB
1;Eustis, Miss Elizabeth Mussey;Miss;Female;54;Brookline, Massachusetts, US;Cherbourg;;Brookline, Massachusetts, US;;;1;4;
1;Evans, Miss Edith Corse;Miss;Female;36;New York, New York, US;Cherbourg;;New York, New York, US;;;0;;
1;Flegenheim, Mrs. Antoinette (née Wendt);Mr;Female;48;New York, New York, US;Cherbourg;;New York, New York, US;;;1;7;
1;Flynn, Mr. John Irwin;Mr;Male;36;Brooklyn, New York, US;Southampton;;Brooklyn, New York, US;;;1;5;
1;Foreman, Mr. Benjamin Laventall;Mr;Male;30;New York, New York, US;Southampton;;New York, New York, US;;;0;;
1;Fortune, Mr. Mark;Mr;Male;64;Winnipeg, Manitoba, Canada;Southampton;;Winnipeg, Manitoba, Canada;;;0;;
1;Fortune, Mrs. Mary (née McDougald);Mr;Female;60;Winnipeg, Manitoba, Canada;Southampton;;Winnipeg, Manitoba, Canada;;;1;10;
1;Fortune, Miss Ethel Flora;Miss;Female;28;Winnipeg, Manitoba, Canada;Southampton;;Winnipeg, Manitoba, Canada;;;1;10;
1;Fortune, Miss Alice Elizabeth;Miss;Female;24;Winnipeg, Manitoba, Canada;Southampton;;Winnipeg, Manitoba, Canada;;;1;10;
1;Fortune, Miss Mabel Helen;Miss;Female;23;Winnipeg, Manitoba, Canada;Southampton;;Winnipeg, Manitoba, Canada;;;1;10;
1;Fortune, Mr. Charles Alexander;Mr;Male;19;Winnipeg, Manitoba, Canada;Southampton;;Winnipeg, Manitoba, Canada;;;0;;
1;Franklin, Mr. Thomas Parnham;Mr;Male;37;London, England, UK;Southampton;;New York, New York, US;;;0;;
1;Frauenthal, Dr. Henry William;Dr;Male;49;London, England, UK;Southampton;;New York, New York, US;;;1;5;
1;Frauenthal, Mrs. Clara (née Heinsheimer);Mr;Female;42;London, England, UK;Southampton;;New York, New York, US;;;1;5;
1;Frauenthal, Mr. Isaac Gerald;Mr;Male;43;London, England, UK;Southampton;;New York, New York, US;;;1;5;
1;Frölicher, Mr. Maximilian Josef;Mr;Male;60;Zürich, Switzerland;Cherbourg;;New York, New York, US;;;1;5;
1;Frölicher, Mrs. Margaretha Emerentia (née Stehli);Mr;Female;48;Zürich, Switzerland;Cherbourg;;New York, New York, US;;;1;5;
1;Frölicher-Stehli, Miss Hedwig Margaritha;Miss;Female;22;Zürich, Switzerland;Cherbourg;;New York, New York, US;;;1;5;
1;Futrelle, Mr. Jacques Heath;Mr;Male;37;Scituate, Massachusetts, US;Southampton;;Scituate, Massachusetts, US;;;0;;
1;Futrelle, Mrs. Lily May (née Peel);Mr;Female;35;Scituate, Massachusetts, US;Southampton;;Scituate, Massachusetts, US;;;1;D;
1;Gee, Mr. Arthur H.;Mr;Male;47;St Annes-on-Sea, Lancashire, England, UK;Southampton;;Mexico City, Mexico;;;0;;275MB
1;Gibson, Mrs. Pauline Caroline (née Boeson);Mr;Female;44;New York, New York, US;Cherbourg;;New York, New York, US;;;1;7;
1;Gibson, Miss Dorothy Winifred;Miss;Female;22;New York, New York, US;Cherbourg;;New York, New York, US;;;1;7;
1;Goldenberg, Mr. Samuel L.;Mr;Male;47;Paris, France;Cherbourg;;New York, New York, US;;;1;5;
1;Goldenberg, Mrs. Nella (née Wiggins);Mr;Female;40;Paris, France;Cherbourg;;New York, New York, US;;;1;5;
1;Goldschmidt, Mr. George B.;Mr;Male;71;New York, New York, US;Cherbourg;;New York, New York, US;;;0;;
1;Gracie IV, Colonel Archibald;Colonel;Male;53;Washington, DC, US;Southampton;;Washington, DC, US;;;1;B;
1;Graham, Mr. George Edward;Mr;Male;38;Winnipeg, Manitoba, Canada;Southampton;;Winnipeg, Manitoba, Canada;;;0;;147MB
1;Graham, Mrs. Edith Ware (née Junkins);Mr;Female;59;Greenwich, Connecticut, US;Southampton;;Greenwich, Connecticut, US;;;1;3;
1;Graham, Miss Margaret Edith;Miss;Female;19;Greenwich, Connecticut, US;Southampton;;Greenwich, Connecticut, US;;;1;3;
1;and governess, Miss Elizabeth Weed Shutes;Miss;Female;40;Greenwich, Connecticut, US;Southampton;;Greenwich, Connecticut, US;;;1;3;
1;Greenfield, Mrs. Blanche (née Strouse);Mr;Female;45;New York, New York, US;Cherbourg;;New York, New York, US;;;1;7;
1;Greenfield, Mr. William Bertram;Mr;Male;23;New York, New York, US;Cherbourg;;New York, New York, US;;;1;7;
1;Guggenheim, Mr. Benjamin;Mr;Male;46;Paris, France;Cherbourg;;New York, New York, US;;;0;;
1;and valet, Mr. Victor Giglio;Mr;Male;24;Paris, France;Cherbourg;;New York, New York, US;;;0;;
1;and chauffeur, Mr. René Pernot[55];Mr;Male;39;Paris, France;Cherbourg;;New York, New York, US;;;0;;
1;Harder, Mr. George Achilles;Mr;Male;25;New York, New York, US;Cherbourg;;New York, New York, US;;;1;5;
1;Harder, Mrs. Dorothy (née Annan);Mr;Female;21;New York, New York, US;Cherbourg;;New York, New York, US;;;1;5;
1;Harper, Mr. Henry Sleeper;Mr;Male;48;New York, New York, US;Cherbourg;;New York, New York, US;;;1;3;
1;and dragoman, Mr. Hammad Hassab;Mr;Male;27;Cairo, Egypt;Cherbourg;;New York, New York, US;;;1;3;
1;Harper, Mrs. Myna (née Haxtun);Mr;Female;49;New York, New York, US;Cherbourg;;New York, New York, US;;;1;3;
1;Harris, Mr. Henry Birkhardt;Mr;Male;45;New York, New York, US;Southampton;;New York, New York, US;;;0;;
1;Harris, Mrs. Irene (née Wallach);Mr;Female;35;New York, New York, US;Southampton;;New York, New York, US;;;1;D;
1;Hawksford, Mr. Walter James;Mr;Male;45;Kingston, Surrey, England, UK;Southampton;;New York, New York, US;;;1;3;
1;Hays, Mr. Charles Melville;Mr;Male;55;Montreal, Quebec, Canada;Southampton;;Montreal, Quebec, Canada;;;0;;307M
1;and clerk, Mr. Vivian Ponsonby Payne;Mr;Male;22;Montreal, Quebec, Canada;Southampton;;Montreal, Quebec, Canada;;;0;;
1;Hays, Mrs. Clara Jennings (née Grigg);Mr;Female;52;Montreal, Quebec, Canada;Southampton;;Montreal, Quebec, Canada;;;1;3;
1;and maid, Miss Mary Anne Perreault;Miss;Female;33;Montreal, Quebec, Canada;Southampton;;Montreal, Quebec, Canada;;;1;3;
1;Hays, Miss Margaret Bechstein;Miss;Female;24;New York, New York, US;Cherbourg;;New York, New York, US;;;1;7;
1;Head, Mr. Christopher;Mr;Male;42;Chelsea, London, England, UK;Southampton;;New York, New York, US;;;0;;
1;Hilliard, Mr. Herbert Henry;Mr;Male;44;Brighton, Massachusetts, US;Southampton;;Brighton, Massachusetts, US;;;0;;
1;Hipkins, Mr. William Edward;Mr;Male;55;Birmingham, West Midlands, England, UK;Southampton;;New York, New York, US;;;0;;
1;Hippach, Mrs. Ida Sophia (née Fischer);Mr;Female;44;Chicago, Illinois, US;Cherbourg;;Chicago, Illinois, US;;;1;4;
1;Hippach, Miss Jean Gertrude;Miss;Female;17;Chicago, Illinois, US;Cherbourg;;Chicago, Illinois, US;;;1;4;
1;Hogeboom, Mrs. Anna Louisa (née Andrews);Mr;Female;51;Hudson, New York, US;Cherbourg;;Hudson, New York, US;;;1;10;
1;Holverson, Mr. Alexander Oskar;Mr;Male;42;New York, New York, US;Southampton;;New York, New York, US;;;0;;38MB
1;Holverson, Mrs. Mary Aline (née Towner);Mr;Female;35;New York, New York, US;Southampton;;New York, New York, US;;;1;8;
1;Homer, Mr. Harry (alias E. Haven);Mr;Male;40;Indianapolis, Indiana, US;Southampton;;Indianapolis, Indiana, US;;;1;15;
1;Hoyt, Mr. Frederick Maxfield;Mr;Male;35;New York, New York, US;Southampton;;Stamford, Connecticut, US;;;1;D;
1;Hoyt, Mrs. Jane Anne (née Forby);Mr;Female;31;New York, New York, US;Southampton;;Stamford, Connecticut, US;;;1;D;
1;Hoyt, Mr. William Fisher;Mr;Male;42;New York, New York, US;Cherbourg;;New York, New York, US;;;0;14;[62][63]
1;Isham, Miss Ann Elizabeth;Miss;Female;50;Chicago, Illinois, US;Cherbourg;;Chicago, Illinois, US;;;0;;
1;Ismay, Mr. Joseph Bruce;Mr;Male;49;Liverpool, Merseyside, England, UK;Southampton;;New York, New York, US;;;1;C;
1;and valet, Mr. John Richard Fry;Mr;Male;39;Liverpool, Merseyside, England, UK;Southampton;;New York, New York, US;;;0;;
1;and secretary, Mr. William Henry Harrison;Mr;Male;45;Wallasey, Merseyside, England, UK;Southampton;;New York, New York, US;;;0;;110MB
1;Johnson, Mrs. Madeline Eliza (née Austin);Mr;Female;40;London, England, UK;Southampton;;New York, New York, US;;;1;6;
1;Johnson (later changed to Langston), Mr. Samuel James;Mr;Male;10;London, England, UK;Southampton;;New York, New York, US;;;1;;
1;Jones, Mr. Charles Cresson;Mr;Male;46;Bennington, Vermont, US;Southampton;;Bennington, Vermont, US;;;0;;80MB
1;Julian, Mr. Henry Forbes;Mr;Male;50;Torquay, Devon, England, UK;Southampton;;San Francisco, US;;;0;;
1;Kent, Mr. Edward Austin;Mr;Male;58;Buffalo, New York, US;Cherbourg;;Buffalo, New York, US;;;0;;258MB
1;Kenyon, Mr. Frederick R.;Mr;Male;41;Pittsburgh, Pennsylvania, US;Southampton;;Pittsburgh, Pennsylvania, US;;;0;;
1;Kenyon, Mrs. Marion (née Stauffer)[58][64];Mr;Female;31;Pittsburgh, Pennsylvania, US;Southampton;;Pittsburgh, Pennsylvania, US;;;1;8;
1;Kimball, Mr. Edwin Nelson Jr.;Mr;Male;42;Boston, Massachusetts, US;Southampton;;Boston, Massachusetts, US;;;1;5;
1;Kimball, Mrs. Gertrude (née Parsons);Mr;Female;45;Boston, Massachusetts, US;Southampton;;Boston, Massachusetts, US;;;1;5;
1;Klaber, Mr. Herman;Mr;Male;45;Portland, Oregon, US;Southampton;;Portland, Oregon, US;;;0;;
1;Langston, Ms. Maxine Jane;FAUX;Male;25;Duncansville, Pennsylvania, US;Southampton;;Duncansivlle, Pennsylvania, US;;;0;;
1;Lambert-Williams, Mr. Fletcher Fellows;Mr;Male;43;London, England, UK;Southampton;;Newark, New Jersey, US;;;0;;
1;Leader, Dr. Alice (née Farnham);Dr;Male;49;New York, New York, US;Southampton;;New York, New York, US;;;1;8;
1;Leslie, Lucy Noël Martha, Countess of Rothes (née Dyer-Edwardes);FAUX;Male;34;Vancouver, British Columbia, Canada;Southampton;;Vancouver, British Columbia, Canada;;;1;8;
1;"and maid, Miss Roberta Elizabeth Mary ""Cissy"" Maioni[65]";Miss;Female;20;Vancouver, British Columbia, Canada;Southampton;;Vancouver, British Columbia, Canada;;;1;8;
1;Lewy, Mr. Ervin G.;Mr;Male;31;Chicago, Illinois, US;Cherbourg;;Chicago, Illinois, US;;;0;;
1;Lindeberg-Lind, Mr. Erik Gustav (alias Edward Lingrey);Mr;Male;42;Jordanstorp, Södermanland, Sweden;Southampton;;New York, New York, US;;;0;;
1;Lindström, Mrs. Sigrid (née Posse);Mr;Female;55;Stockholm, Sweden;Cherbourg;;New York, New York, US;;;1;6;
1;Lines, Mrs. Elizabeth Lindsey (née James);Mr;Female;50;Paris, France;Cherbourg;;Hanover, New Hampshire, US;;;1;9;
1;Lines, Miss Mary Conover;Miss;Female;16;Paris, France;Cherbourg;;Hanover, New Hampshire, US;;;1;9;
1;Long, Mr. Milton Clyde;Mr;Male;29;Springfield, Massachusetts, US;Southampton;;Springfield, Massachusetts, US;;;0;;126MB
1;Longley, Miss Gretchen Fiske;Miss;Female;21;Hudson, New York, US;Cherbourg;;Hudson, New York, US;;;1;10;
1;Loring, Mr. Joseph Holland;Mr;Male;30;London, England, UK;Southampton;;New York, New York, US;;;0;;
1;Madill, Miss Georgette Alexandra;Miss;Female;16;St Louis, Missouri, US;Southampton;;St Louis, Missouri, US;;;1;2;
1;Maguire, Mr. John Edward;Mr;Male;30;Brockton, Massachusetts, US;Southampton;;Brockton, Massachusetts, US;;;0;;
1;Maréchal, Mr. Pierre, Sr.;Mr;Male;28;Paris, France;Cherbourg;;New York, New York, US;;;1;7;
1;Marvin, Mr. Daniel Warner;Mr;Male;18;New York, New York, US;Southampton;;New York, New York, US;;;0;;
1;Marvin, Mrs. Mary Graham Carmichael (née Farquarson)[58][66];Mr;Female;18;New York, New York, US;Southampton;;New York, New York, US;;;1;10;
1;Mayné, Miss Bertha Antonine;Miss;Female;24;Brussels, Belgium;Cherbourg;;Montreal, Quebec, Canada;;;1;6;
1;McCaffry, Mr. Thomas Francis;Mr;Male;46;Vancouver, British Columbia, Canada;Southampton;;Vancouver, British Columbia, Canada;;;0;;292MB
1;McCarthy, Mr. Timothy J.;Mr;Male;54;Dorchester, Massachusetts, US;Southampton;;Dorchester, Massachusetts, US;;;0;;175MB
